category 0: RED; SEA; BLUE; BLACK; WHITE; GREEN; YELLOW; PINK; COLORFUL; BROWN; PURPLE; CARIBBEAN; CROSS; COLORS; SCARLET; SOX; GRAY; HOT; RIVER; ORANGE; HUNT; MEDITERRANEAN; HOOD; OCTOBER; ADRIATIC; VIOLET; WINE; BERING; NORTH; FLAG; BLUES; BARON; BALTIC; AUERBACH; SILVER; BLOOD; SHIELD; RIDING; CHILI; PEPPERS; (OR; MAO; COLOR; HOLE; BOSTON; CARPET; BONNET; BLACKJACK; NILE; TAN,World Geogrpahy,0
category 11: STATE; SOUTH; NORTH; CAROLINA; AFRICA; CALIFORNIA; VIRGINIA; TEXAS; FLORIDA; ALASKA; UNIVERSITY; LOUISIANA; DAKOTA; NEBRASKA; COLORADO; MICHIGAN; MASSACHUSETTS; GEORGIA; HAWAII; OHIO; STATES; AMERICA; ARIZONA; OKLAHOMA; YORK; PENNSYLVANIA; MARYLAND; TENNESSEE; OREGON; KENTUCKY; INDIANA; WASHINGTON; JERSEY; ALABAMA; RHODE; ISLAND; WISCONSIN; MEXICO; ILLINOIS; MISSOURI; MINNESOTA; MISSISSIPPI; KANSAS; WYOMING; UTAH; MAINE; NEVADA; WEST; MONTANA; ARKANSAS,U.S. States,11
category 12: LOVE; YOU; I; STORY; SONGS; LUCY; SONG; BOOK; NO; TV; LOVES; BOAT; SHAKESPEARE; JENNIFER; PINK; BUG; PUPPY; APRIL; IF; DAY; MARRIAGE; MIKE; TURN; TRUE; HUGH; HEWITT; POTION; LOVED; MY; MOVIE; MUSIC; HOW; TOMORROW; JOHN; LYRICS; FAMILY; CANDY; GOOD; KIDS; HAND; COURTNEY; BIG; CANAL; CALLED; BUY; LIGHT; ACE; LADY; SIR; HITS,Misc,12
category 13: (OR; JOHN; JAMES; ROBERT; DAY; DE; ST; THOMAS; RICHARD; MARY; DAVID; CHARLES; PAUL; CENTURY; GEORGE; ISLAND; WHITE; HOUSE; BLACK; SEA; LAKE; TV; NATIONAL; MICHAEL; PETER; MOUNT; TOM; LOUIS; DR; JACKSON; RIVER; WILLIAM; GREEN; ACCEPTED); HENRY; GOOD; WASHINGTON; BLUE; (THE; BAY; SHOW; MARTIN; LEE; KING; JANE; BOB; WAR; WEST; WOMEN; CHICAGO,Movies and History,13
category 14: AMERICAN; LIFE; U.S; ASSOCIATION; SOCIETY; CLUB; EXPRESS; NATIONAL; ARMY; WONDERFUL; PIE; SAMOA; TV; SOUTH; AIR; BEAUTY; MOVIE; ORGANIZATION; IDOL; INTERNATIONAL; REVOLUTION; LEAGUE; MILITARY; WOMEN; RED; MISSISSIPPI; BUSINESS; LUNG; FORCE; BOSTON; ART; CLASSIC; PRESIDENT; ST; CROSS; AIRLINES; RIVER; ACADEMY; DELTA; KENNEL; DAUGHTERS; ISLAND; FAMILY; MOVIES; BAR; ASSOCIATION); SALVATION; CALIFORNIA; MEN; SHOW,U.S. History,14
category 15: NIGHT; SATURDAY; HARD; TWELFTH; SILENT; DAY'S; LIVE; FEVER; DEAD; LONG; MUSIC; GOOD; DAY; A; TV; CHRISTMAS; HEAT; SHAKESPEARE; BABY; MOVIES; LIVING; HAPPENED; MIDSUMMER; GEORGIA; NIGHT'S; HOT; JULIET; DREAM; DAYS; OPERA; MONDAY; LIGHTS; MERCHANT; DOG; ROOF; MEN; STARRY; HAMLET; MACBETH; DANCE; JOURNEY; LATE; MEASURE; LUCK; TAMING; MOVIE; TEMPEST; VAMPIRE; SHREW; MIND,Shakespeare,15
category 16: HISTORY; AMERICAN; U.S; CHANNEL; WORLD; BRITISH; PART; GREAT; (OR; VIII; FOOD; NETWORK; HENRY; ALEXANDER; JOHN; CENTURY; INQUISITION; NAPOLEON; ART; LINCOLN; ROOSEVELT; COMEDY; MILITARY; BLACK; CHURCHILL; EAST; SPANISH; CANAL; MARIE; WAR; IRELAND; 3; JIM; ISLANDS; ESPN; REAGAN; PARTY; VILLA; PANCHO; PTOLEMY; UNIVERSITY; CHICAGO; DISRAELI; HIROHITO; NORTH; LOUIS; ALAMO; 101; MUSSOLINI; QUEEN,World History,16
category 17: WORLD; CUP; SERIES; TRADE; DAYS; SEA; WIDE; IRELAND; WESTERN; BRAVE; WRESTLING; NEWS; BRAZIL; WALTER; DE; WAYNE; ORGANIZATION; EIGHTY; PIRATES; INDIA; MEXICO; ITALY; GERMANY; TURNS; SPAIN; PEOPLE; CANADA; FRANCE; GARP; WONDERS; ICELAND; ELLEN; SCOTLAND; ALMANAC; ZEALAND; LEAGUE; SOUTH; CITY; LEADERS; ST; WARCRAFT; CAPITALS; JAPAN; GREAT; AUSTRALIA; CHINA; PENINSULA; 80; NEWTON; CENTER,Sports,17
category 18: WILLIAM; HENRY; JAMES; VIII; HARRISON; FORD; PRINCE; MARY; SHAKESPEARE; FAULKNER; JOHN; MCKINLEY; THOMAS; TAFT; LLOYD; RICHARD; ROOSEVELT; ORANGE; NIXON; BUTLER; HOWARD; CONQUEROR; WORDSWORTH; BRYAN; JENNINGS; EDWARD; CENTURY; CHARLES; II; ANDREW; ANNE; MILLER; GEORGE; CLARK; JEFFERSON; SHATNER; WARREN; EARL; PATRICK; THOREAU; MOORE; BUCHANAN; DAVID; WALLACE; YEATS; BLAKE; PRESIDENTIAL; HEARST; LINCOLN; ROBERT,Literature,18
category 19: ROCK; ROLL; N; ROLLING; JAILHOUSE; HALL; BAND; LOVE; I; AYERS; SUN; PLYMOUTH; SONGS; TV; 3RD; FAME; MUSIC; LED; ELVIS; SCHOOL; ZEPPELIN; BOYS; DON'T; 30; DAVID; CHRIS; CRUEL; LIMESTONE; HARD; HUDSON; HALEN; LIKE; BOTTOM; STARS; POP; DOME; BOWIE; DAVE; WORLD; CLIMBING; VAN; HOTEL; DYLAN; BEACH; ISLAND; JERRY; CAFE; BLUE; ROBINSON; AGES,Music,19
category 20: KING; LEAR; STEPHEN; KONG; ARTHUR; BURGER; LION; SHAKESPEARE; MACBETH; JOHN; QUEEN; HAMLET; JULIET; LUTHER; TUT; COLE; MARTIN; HENRY; ROMEO; III; ARTHUR'S; BELL; HUSSEIN; JAMES; TACO; LARRY; YANKEE; GEORGE; OTHELLO; COBRA; CONNECTICUT; BIBLE; TAMING; CARLOS; CHARLES; CHICKEN; SHREW; RICHARD; COURT; DON; HILL; KAMEHAMEHA; MOVIES; B.B; DAVID; BILLIE; TEMPEST; II; LONG; JUAN,Shakespeare,20
category 21: WORDS; PHRASES; 4-LETTER; KEY; MAGIC; LONG; LETTER; DOUBLE; ROW; SPELLING; BEE; PLAY; FILMS; 2; MUSIC; CABINET; OPEN; ODD; NATIONAL; FIGHTIN; MERRIAM-WEBSTER'S; FOREIGN; BEER; GERMAN; EUPHEMISM; SI; BACK; 2007; 5; SHAKESPEARE; SONGS; LAMPOON; (OR; 3-LETTER; HUNGRY; MOVIES; FOR; GOOD; CHOICE; FLUTE; RUBY; FORTUNE; EDUCATION; V; DICTIONARY; FOREST; JOY; L; LATIN; HOTEL,WordPlay,21
category 22: BROWN; DOG; MOON; CHARLIE; HOT; DAN; GOOD; SPACE; SWEET; BLACK; DAY; JAMES; BLUE; SPIDER; FLY; JOE; BAD; YOU; HELEN; RECLUSE; PRAIRIE; CAT; JIM; APOLLO; SUN; LIFE; BUSTER; WARREN; COLORFUL; YELLOW; HOUND; MOLLY; UNIVERSITY; POMERANIAN; GURLEY; WILLIE; RIVER; SUGAR; FOX; LION; AFTERNOON; JERRY; YORKSHIRE; CHIHUAHUA; SONGS; EARTH; BEAR; HORSE; TERRIER; WATER,Animals,22
category 23: FRENCH; HEART; ENGLISH; SPANISH; REVOLUTION; LATIN; ARABIC; ITALIAN; GERMAN; GREEK; RUSSIAN; DUTCH; PORTUGUESE; PURPLE; DE; TOAST; SWEDISH; HEBREW; LOUIS; HORN; LANGUAGES; SANSKRIT; AFRICA; FRIES; MANDARIN; IRAN; DARKNESS; JAPANESE; (OR; FOOD; LANGUAGE; CHINESE; ATTACK; WINDOWS; MAKES; LEGION; HEARTBREAK; AU; DEEP; XIV; LIVER; CLASS; BODY; FOREIGN; INDONESIA; TELL-TALE; GUIANA; HAT; PHILIPPINES; CENTURY,Language,23
category 24: SCIENCE; 1; ENDS; 2; NUMBERS; NO; 5; 3; 6; 7; BEGINS; 4; 8; 12; YEARS; 10; 0; HITS; NUMBER; 14; 9; +; STARTS; 13; 24; FEBRUARY; ALL'S; LOOSE; (OR; GAME; SPLIT; MATH; 15; LIGHT; ENERGY; 3000; 27; TROY; APRIL; ODDS; CARBON; CENTURY; TIMES; DAY; 25; 20; SUN; STREET; 90S; 11,Math & Science,24
